class code,teaching_period,time_commitment,id,action
ICT373A,TJA-2019,ft,33317512,add
ICT373A,TJA-2019,ft,33317513,add
ICT373A,TJA-2019,ft,33317514,add
ICT373A,TJA-2019,ft,33317515,add
ICT373A,TJA-2019,ft,33317516,add
ICT373A,TJA-2019,ft,33317517,add
ICT373A,TJA-2019,ft,33317518,add
ICT373A,TJA-2019,ft,33317519,add
ICT373A,TJA-2019,ft,33317520,add
ICT373A,TJA-2019,ft,33317521,add
ICT167A,TJA-2019,ft,33317512,add
ICT167A,TJA-2019,ft,33317513,add
ICT167A,TJA-2019,ft,33317514,add
ICT167A,TJA-2019,ft,33317515,add
ICT167A,TJA-2019,ft,33317516,add
ICT167A,TJA-2019,ft,33317517,add
ICT167A,TJA-2019,ft,33317518,add
ICT167A,TJA-2019,ft,33317519,add
ICT167A,TJA-2019,ft,33317520,add
ICT167A,TJA-2019,ft,33317521,add
